username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity
davevolek,0,0.17488494643496302,-0.1360377836603893,-0.2981898511406636,0.01472781267398182,1.1582932151965248
life,0,-0.444562207530877,-0.1425078478871498,-0.3086429729277715,2.6392390283844693,1.1582932151965248
minimarket,0,-0.3942534263599547,-0.0508315225970733,-0.27205704667289393,1.239499713338876,1.1582932151965248
foxmental.bsky.social,0,-0.39558905771847475,-0.14192563608994055,-0.2250179986309085,1.9393693708616728,1.1582932151965248
cbcmontreal_mirror,1,-0.43929176378916135,-0.13194544112361198,-0.2772836075664479,-0.16023960170671733,1.1582932151965248
CuratedLandscape,1,-0.4168923778868697,-0.1203089884426694,-0.2981898511406636,0.01472781267398182,1.1582932151965248
LifeInTheRound,0,0.04443914545048772,-0.12436910615242339,0.6687239141668152,0.7145974701967787,1.1582932151965248
intamixx,0,-0.444562207530877,-0.1392202218498149,-0.3190960947148794,-0.16023960170671733,1.1582932151965248
theguardian_world_news,1,-0.444562207530877,-0.14114412874835355,0.025856924259680617,0.5396300558160795,1.1582932151965248
GetMusic,0,-0.2718288287356066,-0.13667703294401684,-0.2511508030986782,-0.16023960170671733,1.1582932151965248
nerds.xyz,0,-0.444562207530877,-0.12155364568848898,-0.2511508030986782,-0.3352070160874166,1.1582932151965248
BypassBlues,0,1.517837058001553,-0.1389559479373206,-0.2981898511406636,-0.16023960170671733,1.1582932151965248
KellyJu,0,-0.23334213391250094,-0.11046843554718072,0.24537248178894616,1.7644019564809736,1.1582932151965248
NMARoulette,1,0.11424216964451396,-0.13069301339442466,-0.2929632902471097,0.01472781267398182,1.1582932151965248
DamirAkhmadi,0,0.5419273710815558,-0.06521452777533446,-0.19365863326958485,-0.3352070160874166,1.1582932151965248
cnbusinessforum,0,-0.4405520872926151,-0.1397505899017195,-0.07867429361139819,0.18969522705468098,1.1582932151965248
CuratedVanGogh,1,-0.43604841379425935,-0.12030936571522304,-0.14661958522759938,0.01472781267398182,1.1582932151965248
