username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity,hybrid_cluster,detection_source,outlier_reason,kmeans_cluster,dbscan_cluster,iso_outlier
11thdwarf.bsky.social,0,5.571062088585355,-0.2186222872575786,-0.4785199369240587,1.0112543567099963,0.205533183460538,-1,consensus,Density Outlier (DBSCAN),1.0,-1.0,-1.0
miriamschaan,0,0.2479474552802661,0.7096004005995822,-0.1020735951142898,-0.6495275422797733,0.2021556333848693,0,,,0.0,1.0,1.0
gstats_steam_updates,0,-0.4708163949484482,-0.2103409437544433,-0.2902967660191743,-0.3173711624818193,-1.7869644700247496,-1,rule,Extreme Repetitive Content,,,
wired,1,-0.330525246725716,-0.2157196688276182,-0.2209513872647432,-0.6495275422797733,-0.1868287388425081,-1,rule,API Declared Bot,,,
nyt_homepage,1,-0.2873587395802599,-0.2213992259697646,-0.2704838006607654,0.0147852173161346,-0.1269224445842401,-1,rule,API Declared Bot,,,
vrtnws,1,-0.4816080217348123,-0.2228111565334765,-0.4983329022824676,-0.6495275422797733,-0.0475635462323582,-1,rule,API Declared Bot,,,
fediboard_travel,1,-0.4816080217348123,-0.2041565980165646,-0.4785199369240587,1.0112543567099963,-0.0611321787779732,-1,rule,API Declared Bot,,,
nic221.bsky.social,0,-0.4578915396112914,-0.1874518758526098,-0.2308578699439476,0.6790979769120425,0.3501234758951592,0,,,0.0,1.0,1.0
dyalog,0,-0.1076781535872989,0.0531144138067411,-0.1020735951142898,-0.6495275422797733,-1.0159042373388163,0,,,0.0,1.0,1.0
metro.co.uk,0,-0.4816080217348123,-0.2224899135798254,-0.3992680754904232,-0.6495275422797733,-0.8111905134759732,0,,,0.0,1.0,1.0
tanukicorner.com,0,-0.4816080217348123,-0.0457397252164877,0.4031570215251367,-0.6495275422797733,-1.6579392185227575,-1,rule,Extreme Repetitive Content,,,
midnight-publishing.org,0,-0.4816080217348123,-0.1311727579236331,0.7597903979764966,-0.6495275422797733,-0.8431441312589703,0,,,0.0,1.0,1.0
joepamsterdam,0,-0.3682959404779901,0.096794169803933,-0.0690519861836084,-0.6495275422797733,1.294545467114511,0,,,0.0,1.0,1.0
Flaredwaschbar,0,0.0152218730066389,-0.0202102019233596,-0.062447664397472,0.3469415971140884,1.572316641002555,0,,,0.0,1.0,1.0
bugxhunter,1,-0.3966239607921956,-0.2012978556011436,-0.4983329022824676,0.0147852173161346,-0.5471635216380236,-1,rule,API Declared Bot,,,
pfitz,0,0.111472233354087,-0.2036741243059484,-0.3992680754904232,0.0147852173161346,0.559750220155145,0,,,0.0,1.0,1.0
media,0,-0.4816080217348123,-0.2230127520996961,-0.4190810408488321,-0.6495275422797733,0.3233643680441646,0,,,0.0,1.0,1.0
Francien63,0,0.2180117994691356,-0.0388859279747245,11.44888520883809,0.3469415971140884,0.0669058084014666,-1,consensus,Density Outlier (DBSCAN),2.0,-1.0,-1.0
sagalinked,1,-0.4816080217348123,-0.1925414337535676,-0.4587069715656498,-0.6495275422797733,-0.512713936261144,-1,rule,API Declared Bot,,,
liberty,0,1.2775620397773528,-0.0877273521229487,-0.2209513872647432,1.0112543567099963,-0.1666869912347302,0,,,0.0,4.0,1.0
undertheivy,0,0.4074560004341006,-0.2120973460771319,0.0861495757905946,-0.6495275422797733,1.7456458535086954,0,,,0.0,1.0,1.0
kenji,0,-0.3227994230036599,-0.1780853485192355,3.097720310268745,-0.6495275422797733,0.743205348062058,-1,dbscan,Density Outlier (DBSCAN),0.0,-1.0,1.0
Crystal_Fish_Caves,0,0.7016981951862975,-0.2142177932832847,-0.0822606297558809,2.0077234961038584,0.9727987305393488,0,,,0.0,1.0,1.0
boles,0,-0.4816080217348123,-0.1379136810691178,-0.062447664397472,-0.6495275422797733,-0.7363258268559263,0,,,0.0,1.0,1.0
vinterkarusell,0,-0.3034345422413263,-0.2150838088418352,-0.1912319392271298,-0.3173711624818193,1.1812498229617496,0,,,0.0,1.0,1.0
fediboard_food,1,-0.4816080217348123,-0.2094528417908291,-0.4983329022824676,2.672036255699766,0.0367406130471089,-1,rule,API Declared Bot,,,
KimPerales,0,0.1976268861053949,-0.21820461787734,-0.1218865604726987,-0.6495275422797733,0.9451342053938484,0,,,0.0,1.0,1.0
whatyoumissed,1,-0.4674440115777095,-0.2128130217612142,-0.4587069715656498,0.3469415971140884,-0.0115178704966066,-1,rule,API Declared Bot,,,
wimi,0,0.2535324965304955,-0.210643299023764,-0.0723541470766765,0.0147852173161346,1.3308409005025488,0,,,0.0,1.0,1.0
chiefxpressdog.net,0,-0.4816080217348123,-0.0873636118795543,-0.0129152510014498,-0.6495275422797733,-0.3430871349553232,0,,,0.0,1.0,1.0
mihobu,0,-0.1788232800157627,-0.1963365635836732,-0.1912319392271298,-0.6495275422797733,1.0282353387966323,0,,,0.0,1.0,1.0
basepair,0,0.3709304943879454,-0.2072044456030216,0.0564301277529811,2.672036255699766,0.5666425447719938,0,,,0.0,1.0,1.0
HollyCo26588808,0,-0.4750233003058444,-0.2140925100545612,-0.0228217336806543,2.0077234961038584,0.4230649139237759,0,,,0.0,1.0,1.0
